id,origin_name,result_nums,final_name,type,errorcode,certified,hasany
322,大章烙馍村,1,大章烙馍村,正确,0,,
514,大智若鱼,1,大智若鱼·新国风鱼火锅,正确,0,,
79,丹尼斯六天地蔡林记,0,蔡林记,正确,0,FALSE,
97,德克士,62,德克士,正确,0,TRUE,
354,丁丁私厨,1,丁丁私厨,正确,0,,
407,鼎鼎红,2,鼎鼎红川味火锅,正确,0,,
93,东北饺子王,1,东北饺子王,正确,0,,
582,东府,14,东府饭店,正确,0,FALSE,
208,东来顺,8,东来顺,正确,0,FALSE,
22,东盛丽都,2,东盛丽都大酒店,正确,0,,
232,豆捞坊,5,豆捞坊,正确,0,FALSE,1
327,嘟嘟鱼,7,嘟嘟鱼,正确,0,,
218,俄式厨房,1,俄式厨房,正确,0,,
361,二合馆,3,二合馆,正确,0,FALSE,
323,二胖擀面皮,21,二胖擀面皮,正确,0,FALSE,
539,二人烧烧肉,0,二人烧,正确,0,,
5,方中山,60,方中山胡辣汤,正确,0,FALSE,
275,方中山胡辣汤,59,方中山胡辣汤,正确,0,FALSE,
546,飞乐小厨,0,飞乐时尚餐厅,正确,0,,
329,疯狂烧烤,2,疯狂烧烤,正确,0,,
335,芙蓉巷,8,芙蓉巷成都名小吃,正确,0,TRUE,
328,福满楼,13,福满楼,正确,0,,
72,福状元,27,福状元粥店,正确,0,FALSE,
506,呷哺呷哺,9,呷哺呷哺,正确,0,FALSE,1
562,公社农场,1,公社农场,正确,0,,
243,谷连天,1,谷连天八宝粥,正确,0,FALSE,
458,谷养元,3,谷养元粥铺,正确,0,,
347,谷雨春,4,谷雨春红烧黄河大鲤鱼,正确,0,FALSE,1
548,谷雨春，南阳大砂锅,0,谷雨春红烧黄河大鲤鱼,正确,0,FALSE,1
204,光光酱炒鸡,2,光光酱炒鸡,正确,0,FALSE,
411,锅巴饮火锅,0,锅巴饮年代火锅,正确,0,FALSE,
253,锅巴饮年代火锅,11,锅巴饮年代火锅,正确,0,FALSE,
141,锅大侠,10,锅大侠市集火锅,正确,0,FALSE,1
270,虢国羊肉汤,5,虢国羊肉汤,正确,0,FALSE,
4,海底捞,23,海底捞火锅,正确,0,FALSE,
230,海底捞，霖豆烤鱼,0,海底捞火锅,正确,0,FALSE,
