address,avgPrice,bookingSetting,branchUrl,dishTag,expand,geoLat,geoLng,hasSceneryOrder,memberCardId,phoneNo,poi,promoId,regionList,shopDealId,shopId,shopName,shopPower,shopPowerTitle,addTime,addDate
二七路与西太康路交叉口西北丹尼斯大卫城F10层,44,FALSE,/brands/b13900127s10g10,粤菜馆,0,34.757416,113.665794,FALSE,0,,HIGHUHZVCHJUAA,0,30341,0,22458763,西关味(大卫城店),45,准五星商户,2020/1/29 1:26,2020/1/29
棉纺西路锦艺城c区4楼,66,FALSE,,茶餐厅,0,34.763073,113.606514,FALSE,0,,HIEVHUZVCGEUVE,0,320,0,129954021,北角秀味港式茶餐(锦艺城店),50,五星商户,2020/3/11 15:44,2020/3/11
京广路政通路交叉口北100米路西,17,FALSE,,快餐简餐,0,34.725513,113.656784,FALSE,0,,HIHAUDZVCGJUFL,0,322,0,6854913,周景灿特色羊杂汤,40,四星商户,2020/2/28 14:21,2020/2/28
伊河路与工人路交叉口西100米路南,14,FALSE,/brands/b91938415s10g10,胡辣汤,0,34.742516,113.6197,FALSE,0,,HIFSSBZVCGBWTK,0,87647,0,123744209,方一坤野山菌胡辣汤(光合世界店),45,准五星商户,2020/2/26 15:31,2020/2/26
大卫城11楼,83,FALSE,,特色菜,0,34.75711,113.66583,FALSE,0,,HIGHWSZVCHJSGC,0,7997,0,1493266315,四小姐的店(大卫城店),40,四星商户,2020/3/6 11:40,2020/3/6
商务内环西二街伟业财智广场一楼,197,FALSE,,日式自助,0,34.773407,113.719826,FALSE,0,,HIHGSSZVCJFCRI,0,7994,0,67261506,千代家自助日料,45,准五星商户,2019/12/17 20:22,2019/12/17
大卫城负一楼,71,FALSE,/brands/b110675874s10g10,日本料理,0,34.757767,113.6659,FALSE,0,,HIGHTHZVCHJWVI,0,30341,0,110675874,62o上清水产(大卫城店),45,准五星商户,2020/2/26 12:26,2020/2/26
经南三路与第七大街交汇恒大都市广场三楼305,113,FALSE,,四川火锅,0,34.714363,113.76045,FALSE,0,,HIJURUZVCIUWJL,0,9188,0,132904510,海底捞火锅(恒大都市广场店),45,准五星商户,2020/2/23,2020/2/23
中原路171号,28,FALSE,,西式快餐,0,34.7466,113.60266,FALSE,0,,HIFDHTZVCFTVVV,0,7457,0,112236415,麦当劳(中原万达店),45,准五星商户,2020/3/10 9:07,2020/3/10
农业南路商鼎路交叉口路劲东方陆港56-5号,43,FALSE,,甜品,0,34.756123,113.75872,FALSE,0,,HIITRWZVCJUJTK,0,81434,0,126368999,Mr·Rui Patisserie瑞,40,四星商户,2020/1/14 20:55,2020/1/14
金水东路80号绿地新都会一层国贸36AY106号,32,FALSE,,甜品,0,34.76977,113.76926,FALSE,0,,HIISHGZVCRHAVJ,0,9193,0,112224424,茉觅(汇艺银河里店),40,四星商户,2020/2/9,2020/2/9
二七路大卫城负一层,71,FALSE,/brands/b570662s10g10,西餐,0,34.758087,113.665855,FALSE,0,,HIGHRVZVCHRBJU,0,30341,0,50429042,必胜客(大卫城店),45,准五星商户,2020/2/26 23:21,2020/2/26
二七路丹尼斯大卫城,37,FALSE,,熟食熏酱,0,34.758198,113.66641,FALSE,0,,HIGHTJZVCHRFTC,0,30341,0,98853027,廖记棒棒鸡,40,四星商户,2019/12/15,2019/12/15
汝河路28号2号楼1层10号109号,48,FALSE,,火锅,0,34.73289,113.64041,FALSE,0,,HIGHISZVCGGFCK,0,7456,0,93388911,锅圈食汇(升龙店),40,四星商户,2019/10/30 19:29,2019/10/30
高新技术产业开发区迎春街52号朗悦公园道1号儿童茂一层,38,FALSE,,西式快餐,0,34.81967,113.556175,FALSE,0,,HICESEZVCGHFAB,0,320,0,98961568,肯德基(公园茂店),40,四星商户,2020/2/21 18:58,2020/2/21
黄河路东三街交叉口西南角,55,FALSE,,面包烘焙,0,34.7744,113.65791,FALSE,0,,HIFVCWZVCHUFVO,0,2039,0,110580209,元祖食品(黄河路二店),45,准五星商户,2019/12/30 20:45,2019/12/30
商务东五街世界豫商网西50米,35,FALSE,,面包烘焙,0,34.767475,113.73184,FALSE,0,,HIHUTTZVCJHISW,0,7994,0,131522583,多乐之日(木色店),40,四星商户,2019/11/6 11:48,2019/11/6
未来路与顺河路交叉口向西50米路北,89,FALSE,,粤菜馆,0,34.759804,113.70288,FALSE,0,,HIHFGGZVCIJDTB,0,7999,0,19107586,廣州酒家(顺河路店),40,四星商户,2020/2/6 19:25,2020/2/6
东明路香之舞麻辣小面东100米,13,FALSE,,粉面馆,0,34.756,113.701355,FALSE,0,,HIHGFFZVCIHCHN,0,7999,0,126377498,襄阳牛杂面,35,准四星商户,2019/12/9,2019/12/9
黄河南路与安平路交叉口北100米路东,-1,FALSE,,小吃,0,34.73739,113.74745,FALSE,0,,HIIWJIZVCJBVDI,0,9186,0,24071953,曹记卤肉店(郑州第二分店),35,准四星商户,2019/12/8,2019/12/8
农业东路与众意西路熙地港4层015A,104,FALSE,/brands/b23127475s10g10,融合烤肉,0,34.78493,113.71666,FALSE,0,,HIHBAUZVCJIGVY,0,70526,0,80990639,炉小哥烤肉(熙地港店),45,准五星商户,2020/3/8 9:00,2020/3/8
嵩山北路198号,61,FALSE,,烤串,0,34.767544,113.63207,FALSE,0,,HIFGTTZVCHAJJW,0,65063,0,130166258,雞蛋爆腰子之西郊飯店,40,四星商户,2020/3/1 10:26,2020/3/1
花园路126号正弘城L703,96,FALSE,/brands/b103632558s10g10,猪肚鸡火锅,0,34.79581,113.68046,FALSE,0,,HIFVRCZVCIVIRR,0,9192,0,111760559,煲宫(正弘城店),45,准五星商户,2019/12/20 16:28,2019/12/20
人民路25号,36,FALSE,/brands/b3713767s10g10,面包烘焙,0,34.75586,113.67133,FALSE,0,,HIGRSAZVCHSFVT,0,27218,0,3926131,仟吉西饼(人民路店),40,四星商户,2020/1/6 17:38,2020/1/6
建设路与百花路交叉口向南100米路东,17,FALSE,/brands/b583287s10g10,小吃,0,34.754013,113.62459,FALSE,0,,HIFJBSZVCGIGDJ,0,2042,0,583287,阿康小吃(百花路店),40,四星商户,2020/3/11 21:42,2020/3/11
东风东路与众意路交叉口向东200米,129,FALSE,,打边炉/港式火锅,0,34.789333,113.72495,FALSE,0,,HIHCIBZVCJUGEG,0,70526,0,131292062,鸿运打边炉·港式火锅(东风东路店),45,准五星商户,2020/2/2 15:58,2020/2/2
金水路288号曼哈顿商业广场赛博数码一楼,29,FALSE,/brands/b4726683s10g10,面包烘焙,0,34.76135,113.70555,FALSE,0,,HIHFVUZVCIRVBX,0,7999,0,5409845,锦鲤坊(曼哈顿店),45,准五星商户,2020/2/5 9:50,2020/2/5
东风南路与熊儿河路交叉口东行200米路南,50,FALSE,/brands/b21060276s10g10,豫菜,0,34.77739,113.76294,FALSE,0,,HIIGAFZVCRHIWJ,0,89805,0,9097054,须水邓记叫化鸡(东区店),40,四星商户,2020/2/7 22:21,2020/2/7
嵩山南路与安康路交叉口关照先生一层A1103号,45,FALSE,,面包烘焙,0,34.727097,113.62807,FALSE,0,,HIGEWFZVCFWDSD,0,64912,0,114526686,元祖食品(嵩山路店),40,四星商户,2020/3/9 18:14,2020/3/9
中原路与华山路交叉口万达广场二楼2062,26,FALSE,/brands/b3442246s10g10,冰淇淋,0,34.746746,113.60082,FALSE,0,,HIFCSCZVCFTEER,0,7457,0,5419311,DQ(中原万达店),45,准五星商户,2020/3/11 23:33,2020/3/11
商城路229号,77,FALSE,,鱼火锅,0,34.754723,113.67375,FALSE,0,,HIGTACZVCHSUWC,0,7463,0,76068810,清真·涛哥鱼火锅(商城路总店),40,四星商户,2020/2/16 21:12,2020/2/16
二七路丹尼斯大卫城负一楼南头,22,FALSE,,炸鸡炸串,0,34.757195,113.66607,FALSE,0,,HIGIAIZVCHJUFA,0,30341,0,129412938,夸父炸串公司(大卫城店),45,准五星商户,2020/1/8 0:43,2020/1/8
花园路与东风路交叉口西南角正弘城负一楼肯德基中厅向超市方向走右拐汉堡王隔壁,41,FALSE,,烧腊,0,34.796143,113.68081,FALSE,0,,HIFVRIZVCIVTVV,0,9192,0,982889362,郑十八佛跳墙·烧腊馆(正弘城店),40,四星商户,2020/3/5 11:01,2020/3/5
大学路陇海路北200米路西康桥华城,14,FALSE,,茶饮果汁,0,34.73807,113.64375,FALSE,0,,HIGGTUZVCGJRGE,0,7456,0,22988955,CoCo都可(大学店),45,准五星商户,2020/3/4 18:12,2020/3/4
崇福路与滨河路交叉口向北50米路东,27,FALSE,,粉面馆,0,34.460384,113.04596,FALSE,0,,HHVJTFZVBBDRJH,0,27696,0,59170620,登封第一面,35,准四星商户,2020/1/21 17:29,2020/1/21
紫荆山路与陇海东路交叉口东行200米路北,26,FALSE,/brands/b3713767s10g10,面包烘焙,0,34.7397,113.684586,FALSE,0,,HIHGCSZVCHRDTS,0,323,0,5699332,仟吉KenGee(陇海路店),40,四星商户,2020/1/27 0:25,2020/1/27
金水路未来路交叉口东南角曼哈顿广场一楼,26,FALSE,/brands/b13858182s10g10,面包烘焙,0,34.762665,113.70523,FALSE,0,,HIHFERZVCISEFY,0,7999,0,19136344,多乐之日(曼哈顿店),40,四星商户,2020/3/11 19:35,2020/3/11
瑞达路36号,72,FALSE,,豫菜,0,34.786972,113.57706,FALSE,0,,HIDJRUZVCGCSCM,0,9183,0,92252197,成师傅汴京烤鸭(瑞达路店),50,五星商户,2020/3/10,2020/3/10
众意西路与地润路交叉口东50米路北,73,FALSE,,咖啡厅,0,34.788403,113.717384,FALSE,0,,HIGWWDZVCJRBCQ,0,70526,0,90416074,柏咖啡·Pine Cafe,45,准五星商户,2020/2/24 18:22,2020/2/24
民主路10号华润万象城B1层,20,FALSE,/brands/b92714386s10g10,茶饮果汁,0,34.754913,113.6619,FALSE,0,,HIGHFCZVCHHFBG,0,27968,0,94008740,眷茶(华润万象城店),45,准五星商户,2020/3/8 13:23,2020/3/8
桐柏路淮河路交叉口向南200米路西,48,FALSE,,豫菜,0,34.72641,113.61328,FALSE,0,,HIFWHGZVCFJDAF,0,320,0,97873944,葛记焖饼(桐柏路店),40,四星商户,2020/3/6 12:49,2020/3/6
政通路与淮南街交叉口东50米路南,33,FALSE,/brands/b582298s10g10,面包烘焙,0,34.72474,113.63687,FALSE,0,,HIGJFJZVCGBTAK,0,9180,0,6027689,卡吉诺(政通路店),40,四星商户,2020/3/6 15:27,2020/3/6
凤台路与沈庄路交叉口西100米银基王朝三期南排商铺,100,FALSE,,小龙虾,0,34.755707,113.71319,FALSE,0,,HIHSBJZVCISRIU,0,7999,0,83479145,虾互联(外卖专门店),50,五星商户,2019/10/5 23:16,2019/10/5
大学中路105号,33,FALSE,,新疆菜,0,34.728703,113.6435,FALSE,0,,HIGRGJZVCGFVEQ,0,9180,0,5667212,新疆拉条烧烤城,40,四星商户,2020/3/11 18:13,2020/3/11
龙湖中环路与九如路交叉口龙湖里3层D区,-1,FALSE,,西餐,0,34.791096,113.7419,FALSE,0,,HIHIGSZVCRESCC,0,87585,0,126567394,P’engKo朋阁,35,准四星商户,2020/2/22 16:52,2020/2/22
开元路68号惠济万达广场四楼4026,36,FALSE,,日式烧烤/烤肉,0,34.867928,113.637924,FALSE,0,,HIDBTWZVCJRBIG,0,9189,0,130274165,熊吞·大碗丼日式烧肉饭(惠济万达店),50,五星商户,2020/3/9 9:12,2020/3/9
龙子湖平安大道与博学路交汇处局外太格茂购物中心4层14号商铺,14,FALSE,,茶饮果汁,0,34.79351,113.80143,FALSE,0,,HIIVTDZVCSTVFL,0,9194,0,124569229,CoCo都可(太格茂店),45,准五星商户,2020/3/2 22:20,2020/3/2
二七路与太康路交叉口丹尼斯大卫城负一楼,27,FALSE,,面包烘焙,0,34.758244,113.6659,FALSE,0,,HIGHRGZVCHRCVX,0,27218,0,98248231,源香缘古早味手工蛋糕(大卫城店),45,准五星商户,2020/1/31 13:34,2020/1/31
北环道南，文化路东瀚海北金商业中心一，二层,35,FALSE,/brands/b572485s10g10,西式快餐,0,34.809177,113.665695,FALSE,0,,HIFDJRZVCIUWVF,0,8002,0,21724154,肯德基(北金店),40,四星商户,2020/2/27,2020/2/27
陇海中路与庆丰街交叉口东南角,75,FALSE,,四川火锅,0,34.73601,113.65281,FALSE,0,,HIGSCDZVCGTGBD,0,9181,0,1130683605,蜀齐天火锅(庆丰街店),45,准五星商户,2019/12/8 17:06,2019/12/8
花园后街10号,6,FALSE,,小吃,0,34.76967,113.682495,FALSE,0,,HIGJRJZVCIFBWV,0,2036,0,3109387,永霞烙馍卷菜,40,四星商户,2019/11/6 18:34,2019/11/6
丰产路经二路交叉口向东50米路北,81,FALSE,,重庆火锅,0,34.783794,113.69606,FALSE,0,,HIGJGAZVCIWWBE,0,7458,0,538389991,喜來辣重慶牛油火鍋,50,五星商户,2019/12/16,2019/12/16
科新路正弘城负一楼,19,FALSE,,酸奶,0,34.7958,113.68045,FALSE,0,,HIFVRIZVCIVIIV,0,9192,0,1228321138,有米酸奶(正弘城总店),45,准五星商户,2020/1/7 21:04,2020/1/7
金水区正弘城负一楼,-1,FALSE,,面包烘焙,0,34.795883,113.68048,FALSE,0,,HIFVJAZVCIVJED,0,9192,0,1318886210,港粒记,35,准四星商户,2020/2/1 21:10,2020/2/1
棉纺西路锦艺城B区4楼,17,FALSE,/brands/b92714386s10g10,茶饮果汁,0,34.761974,113.61056,FALSE,0,,HIFAIEZVCGGAEJ,0,9196,0,101908215,眷茶(锦艺城店),50,五星商户,2020/3/5 21:49,2020/3/5
心怡路与康宁街交叉口西南角基运投资大厦3F,119,FALSE,,豫菜,0,34.750446,113.77308,FALSE,0,,HIJEHSZVCRAWWD,0,9193,0,131169968,裕豐源豫食雅宴,40,四星商户,2020/1/10 19:18,2020/1/10
金水路288号,113,FALSE,,打边炉/港式火锅,0,34.761505,113.70784,FALSE,0,,HIHGSVZVCISUFU,0,7999,0,126552538,香港鲜胶记花胶鸡火锅(曼哈顿店),45,准五星商户,2019/11/18 17:11,2019/11/18
花园路三全路向南200米路西,47,FALSE,/brands/b558737s10g10,豫菜,0,34.82597,113.68112,FALSE,0,,HIFDCAZVCJRJET,0,28495,0,3255457,合记(花园路店),40,四星商户,2020/3/9 17:27,2020/3/9
十里铺街与宏伟街交叉口向东100米,136,FALSE,,甜品,0,34.744923,113.73,FALSE,0,,HIIFUAZVCIVAED,0,7464,0,131631679,SHUO。W,40,四星商户,2020/3/6 15:04,2020/3/6
航海路与银莺路交叉口西南角福都购物广场东北角一层,29,FALSE,/brands/b572485s10g10,西式快餐,0,34.72041,113.70091,FALSE,0,,HIIEBJZVCHJBDV,0,8003,0,8879136,肯德基(航海路店),40,四星商户,2020/2/12 13:06,2020/2/12
金水路288号曼哈顿广场A区,31,FALSE,/brands/b572485s10g10,西式快餐,0,34.76273,113.70632,FALSE,0,,HIHFRDZVCISSIK,0,7999,0,3457237,肯德基(金水路店),40,四星商户,2020/3/11 21:19,2020/3/11
农业路花园路国贸大商新玛特7楼,125,FALSE,,日本料理,0,34.78487,113.68045,FALSE,0,,HIGCUSZVCIREEE,0,2038,0,120069246,松葉日式料理(大商国贸店),45,准五星商户,2020/3/6 22:16,2020/3/6
郑东新区黄河南路与熊儿河路交叉口东南角,293,FALSE,,海鲜,0,34.768658,113.744286,FALSE,0,,HIICCUZVCJTUUR,0,7994,0,107427155,鲜品味海鲜加工厂,35,准四星商户,2020/1/12 14:59,2020/1/12
桐柏路与棉纺路交叉口东南角,43,FALSE,,水果生鲜,0,34.760357,113.6139,FALSE,0,,HIFCICZVCGGSAX,0,9196,0,107973769,锅圈食汇(锦艺城店),35,准四星商户,2020/1/30 22:08,2020/1/30
富田太阳城58号楼,51,FALSE,,面包烘焙,0,34.722717,113.71592,FALSE,0,,HIIJAWZVCHWUGW,0,8003,0,19614717,lisa cake丽莎蛋糕,35,准四星商户,2019/11/23 18:46,2019/11/23
博颂路16号,16,FALSE,,面包烘焙,0,34.808784,113.65456,FALSE,0,,HIEWHHZVCIJHUV,0,8002,0,22343806,开封老卫全美传统手工糕点,40,四星商户,2019/12/3 15:24,2019/12/3
德化街2号楼4号,34,FALSE,/brands/b2777044s10g10,豫菜,0,34.751026,113.667694,FALSE,0,,HIGSCHZVCHIAWT,0,2045,0,4047640,老蔡记(二七广场店),40,四星商户,2020/3/8 16:51,2020/3/8
棉纺西路36号锦艺城购物中心F4层B4-05A,67,FALSE,/brands/b19820422s10g10,小火锅,0,34.762245,113.609985,FALSE,0,,HIFADDZVCGFVGM,0,9196,0,22821663,呷哺呷哺(郑州锦艺城店),45,准五星商户,2019/12/28 10:43,2019/12/28
花园路29-9号,13,FALSE,,面包烘焙,0,34.78362,113.68285,FALSE,0,,HIGEEVZVCIRSGJ,0,2038,0,2487262,张娜绿豆饼(丰产路一店),40,四星商户,2019/11/27 23:12,2019/11/27
西大街116号,45,FALSE,,快餐简餐,0,34.751,113.67195,FALSE,0,,HIGTTRZVCHJSGJ,0,7463,0,9123664,铁记牛肉,35,准四星商户,2020/1/2 22:13,2020/1/2
丰产路39号,29,FALSE,,面包甜点,0,34.783882,113.67922,FALSE,0,,HIGCUEZVCIJGGV,0,2038,0,108092528,德善華,40,四星商户,2020/2/24,2020/2/24
绿地新都会新田360广场4楼,15,FALSE,,茶饮果汁,0,34.76975,113.7682,FALSE,0,,HIISAJZVCRGRCC,0,321,0,113928152,CoCo都可(绿地新都会店),50,五星商户,2020/2/13 20:13,2020/2/13
优胜北路,38,FALSE,,快餐简餐,0,34.76908,113.65931,FALSE,0,,HIGAUCZVCHSUGT,0,2039,0,91674114,溢香苑瓦罐(优胜北路店),45,准五星商户,2020/2/12 12:55,2020/2/12
文化路文化大厦,5,FALSE,,面包烘焙,0,34.79363,113.6662,FALSE,0,,HIFJWAZVCIIBUW,0,9192,0,1052704575,冯家甑糕(文化大厦店),40,四星商户,2020/1/14 17:53,2020/1/14
东风路与信息学院路交叉口向西100米路北财智名座20楼2017,86,FALSE,/brands/b102207450s10g10,日式自助,0,34.800182,113.65764,FALSE,0,,HIFEARZVCIHFFY,0,9192,0,102207450,厚道寿喜烧日式火锅料理(东风路店),45,准五星商户,2019/11/30,2019/11/30
丰庆路与国基路交叉口YOYOPARK购物公园5F,59,FALSE,,茶餐厅,0,34.819202,113.6476,FALSE,0,,HIEIRWZVCIRUHX,0,27232,0,131021356,北角秀味茶餐厅(YOYOPARK店),50,五星商户,2020/1/5 22:58,2020/1/5
大学南路二七万达三楼,272,FALSE,/brands/b24642998s10g10,自助餐,0,34.717052,113.642815,FALSE,0,,HIGVRTZVCGBBCL,0,7996,0,91594062,铁板诱惑法式铁板烧(二七万达店),45,准五星商户,2020/3/9 15:41,2020/3/9
顺河路41号,74,FALSE,,粤菜馆,0,34.76095,113.68611,FALSE,0,,HIGVHEZVCIDCBO,0,2047,0,129435883,广州小馆,35,准四星商户,2020/2/27,2020/2/27
紫金山路与陇海路交叉口,23,FALSE,/brands/b572485s10g10,西式快餐,0,34.740276,113.682655,FALSE,0,,HIHFCFZVCHJSEG,0,323,0,6270539,肯德基(方圆创世店),45,准五星商户,2020/3/10 12:05,2020/3/10
黄河路与姚寨路交叉口金成时代广场,81,FALSE,,寿司,0,34.775913,113.70612,FALSE,0,,HIHAGJZVCJATSL,0,7458,0,67266794,河风精致寿司郑州直营店,50,五星商户,2019/12/4 16:47,2019/12/4
农业东路与众意西路交叉口熙地港购物中心负1楼1011号,45,FALSE,/brands/b3713767s10g10,面包烘焙,0,34.784817,113.71752,FALSE,0,,HIHBFRZVCJISJC,0,70526,0,83511434,仟吉KenGee(熙地港店),40,四星商户,2020/3/11 12:23,2020/3/11
东风路文化路交叉口财院家属院进门左转50米,31,FALSE,,咖啡厅,0,34.80005,113.66432,FALSE,0,,HIFGJUZVCIJVEA,0,9192,0,131489979,小春日和咖啡馆,40,四星商户,2020/1/5 0:01,2020/1/5
花园路国贸负一楼,18,FALSE,/brands/b92714386s10g10,茶饮果汁,0,34.784904,113.679794,FALSE,0,,HIGCJEZVCIRAFC,0,2038,0,92338621,眷茶(国贸360店),50,五星商户,2020/3/5 17:03,2020/3/5
顺河路与玉凤路交叉口向西100米,14,FALSE,,胡辣汤,0,34.75981,113.70921,FALSE,0,,HIHHWAZVCISSGT,0,7999,0,18475938,方中山胡辣汤(曼哈顿店),40,四星商户,2020/3/6 12:38,2020/3/6
